,party,procedure_type,percent_dissent
229,Renew,INI,0.0520833333333333
230,S&D,INI,0.0
231,ECR,INI,0.1269841269841269
232,EPP,INI,0.0
233,GUE/NGL,INI,0.1538461538461538
234,Greens/EFA,INI,0.0294117647058823
235,ID,INI,0.4857142857142857
236,Renew,INI,0.0
237,S&D,INI,0.0071942446043165
238,ECR,INI,0.1269841269841269
239,EPP,INI,0.0
240,GUE/NGL,INI,0.1794871794871795
241,Greens/EFA,INI,0.0147058823529411
242,ID,INI,0.6142857142857143
243,Renew,INI,0.03125
244,S&D,INI,0.0431654676258992
245,ECR,INI,0.2539682539682539
246,EPP,INI,0.0346820809248554
247,GUE/NGL,INI,0.0
248,Greens/EFA,INI,0.0
249,ID,INI,0.3142857142857143
250,Renew,INI,0.0520833333333333
251,S&D,INI,0.0
252,ECR,INI,0.1904761904761904
253,EPP,INI,0.0057142857142856
254,GUE/NGL,INI,0.1538461538461538
255,Greens/EFA,INI,0.0
256,ID,INI,0.3571428571428571
257,Renew,INI,0.0204081632653061
258,S&D,INI,0.0
259,ECR,INI,0.2222222222222222
260,EPP,INI,0.1542857142857142
261,GUE/NGL,INI,0.0769230769230768
262,Greens/EFA,INI,0.0
263,ID,INI,0.5571428571428572
264,Renew,INI,0.2142857142857143
265,S&D,INI,0.0285714285714285
266,ECR,RSP,0.0645161290322581
267,EPP,RSP,0.0
268,GUE/NGL,RSP,0.2564102564102564
269,Greens/EFA,RSP,0.0
270,ID,RSP,0.2285714285714285
271,Renew,RSP,0.0
272,S&D,RSP,0.0
273,ECR,RSP,0.0483870967741935
274,EPP,RSP,0.0
275,GUE/NGL,RSP,0.0
276,Greens/EFA,RSP,0.0
277,ID,RSP,0.1285714285714285
278,Renew,RSP,0.03125
279,S&D,RSP,0.0142857142857142
280,ECR,RSP,0.1774193548387096
281,EPP,RSP,0.2994011976047904
282,GUE/NGL,RSP,0.0
283,Greens/EFA,RSP,0.0
284,ID,RSP,0.0285714285714285
285,Renew,RSP,0.031578947368421
286,S&D,RSP,0.0
287,ECR,RSP,0.0967741935483871
288,EPP,RSP,0.0
289,GUE/NGL,RSP,0.4358974358974359
290,Greens/EFA,RSP,0.1470588235294118
291,ID,RSP,0.4142857142857142
292,Renew,RSP,0.0208333333333333
293,S&D,RSP,0.1029411764705882
294,ECR,RSP,0.0483870967741935
295,EPP,RSP,0.0
296,GUE/NGL,RSP,0.2564102564102564
297,Greens/EFA,RSP,0.0
298,ID,RSP,0.4142857142857142
299,Renew,RSP,0.0
300,S&D,RSP,0.0071428571428571
301,ECR,COD,0.0
302,EPP,COD,0.0
303,GUE/NGL,COD,0.0
304,Greens/EFA,COD,0.0
305,ID,COD,0.0285714285714285
306,Renew,COD,0.0
307,S&D,COD,0.0
308,ECR,BUD,0.3492063492063492
309,EPP,BUD,0.0457142857142857
310,GUE/NGL,BUD,0.0769230769230768
311,Greens/EFA,BUD,0.0
312,ID,BUD,0.0142857142857142
313,Renew,BUD,0.0204081632653061
314,S&D,BUD,0.0
315,ECR,COD,0.1587301587301587
316,EPP,COD,0.0057142857142856
317,GUE/NGL,COD,0.0
318,Greens/EFA,COD,0.0136986301369863
319,ID,COD,0.0714285714285714
320,Renew,COD,0.0
321,S&D,COD,0.0551724137931034
322,ECR,DEC,0.1904761904761904
323,EPP,DEC,0.0
324,GUE/NGL,DEC,0.0
325,Greens/EFA,DEC,0.0
326,ID,DEC,0.4571428571428572
327,Renew,DEC,0.0
328,S&D,DEC,0.0068965517241379
329,ECR,DEC,0.2539682539682539
330,EPP,DEC,0.0
331,GUE/NGL,DEC,0.0
332,Greens/EFA,DEC,0.0
333,ID,DEC,0.4714285714285714
334,Renew,DEC,0.0510204081632652
335,S&D,DEC,0.0068965517241379
336,ECR,DEC,0.0158730158730159
337,EPP,DEC,0.1988636363636363
338,GUE/NGL,DEC,0.0526315789473684
339,Greens/EFA,DEC,0.0136986301369863
340,ID,DEC,0.0428571428571428
341,Renew,DEC,0.1428571428571429
342,S&D,DEC,0.0214285714285714
343,ECR,DEC,0.2063492063492064
344,EPP,DEC,0.0517241379310344
345,GUE/NGL,DEC,0.3076923076923077
346,Greens/EFA,DEC,0.028169014084507
347,ID,DEC,0.3478260869565217
348,Renew,DEC,0.0206185567010309
349,S&D,DEC,0.021897810218978
350,ECR,INI,0.4920634920634921
351,EPP,INI,0.384180790960452
352,GUE/NGL,INI,0.0512820512820513
353,Greens/EFA,INI,0.0
354,ID,INI,0.1176470588235294
355,Renew,INI,0.2346938775510204
356,S&D,INI,0.0625
357,ECR,INL,0.1111111111111111
358,EPP,INL,0.0
359,GUE/NGL,INL,0.0
360,Greens/EFA,INL,0.0
361,ID,INL,0.1999999999999999
362,Renew,INL,0.0
363,S&D,INL,0.0069444444444444
364,ECR,INI,0.1269841269841269
365,EPP,INI,0.0
366,GUE/NGL,INI,0.0
367,Greens/EFA,INI,0.0
368,ID,INI,0.1857142857142857
369,Renew,INI,0.0
370,S&D,INI,0.0
371,ECR,INI,0.0333333333333333
372,EPP,INI,0.0170454545454545
373,GUE/NGL,INI,0.3947368421052631
374,Greens/EFA,INI,0.0138888888888888
375,ID,INI,0.4852941176470589
376,Renew,INI,0.0
377,S&D,INI,0.0592592592592592
378,ECR,RSP,0.3809523809523809
379,EPP,RSP,0.0517241379310344
380,GUE/NGL,RSP,0.0512820512820513
381,Greens/EFA,RSP,0.0
382,ID,RSP,0.2753623188405797
383,Renew,RSP,0.0721649484536082
384,S&D,RSP,0.0220588235294117
385,ECR,RSP,0.1904761904761904
386,EPP,RSP,0.0172413793103448
387,GUE/NGL,RSP,0.2051282051282051
388,Greens/EFA,RSP,0.0563380281690141
389,ID,RSP,0.3478260869565217
390,Renew,RSP,0.0
391,S&D,RSP,0.0291970802919707
392,ECR,RSP,0.1111111111111111
393,EPP,RSP,0.1091954022988506
394,GUE/NGL,RSP,0.3589743589743589
395,Greens/EFA,RSP,0.0
396,ID,RSP,0.4637681159420289
397,Renew,RSP,0.2291666666666666
398,S&D,RSP,0.0072992700729926
399,ECR,RSP,0.0645161290322581
400,EPP,RSP,0.059171597633136
401,GUE/NGL,RSP,0.131578947368421
402,Greens/EFA,RSP,0.028169014084507
403,ID,RSP,0.0
404,Renew,RSP,0.0
405,S&D,RSP,0.0075187969924812
406,ECR,NLE,0.0634920634920634
407,EPP,NLE,0.0
408,GUE/NGL,NLE,0.2105263157894736
409,Greens/EFA,NLE,0.0
410,ID,NLE,0.3285714285714286
411,Renew,NLE,0.0
412,S&D,NLE,0.0
413,ECR,RSP,0.3650793650793651
414,EPP,RSP,0.3063583815028902
415,GUE/NGL,RSP,0.0789473684210526
416,Greens/EFA,RSP,0.0
417,ID,RSP,0.6571428571428571
418,Renew,RSP,0.010204081632653
419,S&D,RSP,0.0212765957446808
420,ECR,INI,0.1746031746031746
421,EPP,INI,0.0227272727272727
422,GUE/NGL,INI,0.0263157894736841
423,Greens/EFA,INI,0.0
424,ID,INI,0.3428571428571428
425,Renew,INI,0.0510204081632652
426,S&D,INI,0.0
427,ECR,RSP,0.0634920634920634
428,EPP,RSP,0.0511363636363636
429,GUE/NGL,RSP,0.1052631578947368
430,Greens/EFA,RSP,0.0
431,ID,RSP,0.0285714285714285
432,Renew,RSP,0.0510204081632652
433,S&D,RSP,0.0
434,ECR,COD,0.0681818181818182
435,EPP,COD,0.0
436,GUE/NGL,COD,0.0
437,Greens/EFA,COD,0.0
438,ID,COD,0.0363636363636363
439,Renew,COD,0.0
440,S&D,COD,0.0
441,ECR,COD,0.127659574468085
442,EPP,COD,0.0704225352112676
443,GUE/NGL,COD,0.1999999999999999
444,Greens/EFA,COD,0.0
445,ID,COD,0.4
446,Renew,COD,0.0
447,S&D,COD,0.0169491525423728
448,ECR,INI,0.276595744680851
449,EPP,INI,0.0422535211267606
450,GUE/NGL,INI,0.1142857142857143
451,Greens/EFA,INI,0.0172413793103448
452,ID,INI,0.4909090909090909
453,Renew,INI,0.0
454,S&D,INI,0.0
455,ECR,INI,0.0833333333333333
456,EPP,INI,0.0
457,GUE/NGL,INI,0.4857142857142857
458,Greens/EFA,INI,0.0172413793103448
459,ID,INI,0.1272727272727273
460,Renew,INI,0.0
461,S&D,INI,0.1475409836065574
462,ECR,INI,0.2790697674418605
463,EPP,INI,0.0071428571428571
464,GUE/NGL,INI,0.1212121212121212
465,Greens/EFA,INI,0.0
466,ID,INI,0.2222222222222222
467,Renew,INI,0.0
468,S&D,INI,0.0163934426229508
469,ECR,INI,0.1041666666666666
470,EPP,INI,0.0503597122302158
471,GUE/NGL,INI,0.3823529411764705
472,Greens/EFA,INI,0.0172413793103448
473,ID,INI,0.4464285714285714
474,Renew,INI,0.0
475,S&D,INI,0.0081967213114754
476,ECR,COD,0.2978723404255319
477,EPP,COD,0.0
478,GUE/NGL,COD,0.3142857142857143
479,Greens/EFA,COD,0.0
480,ID,COD,0.0
481,Renew,COD,0.0
482,S&D,COD,0.0
483,ECR,NLE,0.0
484,EPP,NLE,0.0559440559440559
485,GUE/NGL,NLE,0.3714285714285714
486,Greens/EFA,NLE,0.2363636363636363
487,ID,NLE,0.3090909090909091
488,Renew,NLE,0.1951219512195121
489,S&D,NLE,0.0491803278688525
490,ECR,COD,0.1587301587301587
491,EPP,COD,0.0511363636363636
492,GUE/NGL,COD,0.3157894736842105
493,Greens/EFA,COD,0.0138888888888888
494,ID,COD,0.4411764705882353
495,Renew,COD,0.1134020618556701
496,S&D,COD,0.1521739130434782
497,ECR,COD,0.2539682539682539
498,EPP,COD,0.1363636363636363
499,GUE/NGL,COD,0.2105263157894736
500,Greens/EFA,COD,0.0138888888888888
501,ID,COD,0.2352941176470588
502,Renew,COD,0.1354166666666666
503,S&D,COD,0.3840579710144928
504,ECR,COD,0.1428571428571429
505,EPP,COD,0.0511363636363636
506,GUE/NGL,COD,0.2894736842105263
507,Greens/EFA,COD,0.0138888888888888
508,ID,COD,0.2058823529411765
509,Renew,COD,0.1237113402061855
510,S&D,COD,0.3333333333333333
511,ECR,COD,0.0476190476190476
512,EPP,COD,0.0
513,GUE/NGL,COD,0.0
514,Greens/EFA,COD,0.0
515,ID,COD,0.1470588235294118
516,Renew,COD,0.0103092783505154
517,S&D,COD,0.0
518,ECR,COD,0.0476190476190476
519,EPP,COD,0.0
520,GUE/NGL,COD,0.0
521,Greens/EFA,COD,0.0
522,ID,COD,0.1470588235294118
523,Renew,COD,0.0
524,S&D,COD,0.0072463768115942
525,ECR,COD,0.0476190476190476
526,EPP,COD,0.0
527,GUE/NGL,COD,0.2631578947368421
528,Greens/EFA,COD,0.0
529,ID,COD,0.5294117647058824
530,Renew,COD,0.0
531,S&D,COD,0.0
532,ECR,COD,0.0476190476190476
533,EPP,COD,0.0
534,GUE/NGL,COD,0.2631578947368421
535,Greens/EFA,COD,0.0
536,ID,COD,0.4852941176470589
537,Renew,COD,0.0
538,S&D,COD,0.0
539,ECR,INI,0.2539682539682539
540,EPP,INI,0.0454545454545454
541,GUE/NGL,INI,0.0789473684210526
542,Greens/EFA,INI,0.0
543,ID,INI,0.5
544,Renew,INI,0.0
545,S&D,INI,0.0217391304347825
546,ECR,INL,0.0
547,EPP,INL,0.0
548,GUE/NGL,INL,0.0
549,Greens/EFA,INL,0.0
550,ID,INL,0.3676470588235294
551,Renew,INL,0.0
552,S&D,INL,0.0
553,ECR,INI,0.2380952380952381
554,EPP,INI,0.0847457627118644
555,GUE/NGL,INI,0.1621621621621621
556,Greens/EFA,INI,0.0
557,ID,INI,0.417910447761194
558,Renew,INI,0.0103092783505154
559,S&D,INI,0.0
560,ECR,RSP,0.1774193548387096
561,EPP,RSP,0.0
562,GUE/NGL,RSP,0.054054054054054
563,Greens/EFA,RSP,0.0
564,ID,RSP,0.3880597014925373
565,Renew,RSP,0.0
566,S&D,RSP,0.0
567,ECR,RSP,0.0967741935483871
568,EPP,RSP,0.0
569,GUE/NGL,RSP,0.4054054054054054
570,Greens/EFA,RSP,0.0140845070422535
571,ID,RSP,0.5454545454545454
572,Renew,RSP,0.0
573,S&D,RSP,0.0
574,ECR,RSP,0.1612903225806451
575,EPP,RSP,0.0459770114942529
576,GUE/NGL,RSP,0.054054054054054
577,Greens/EFA,RSP,0.0422535211267606
578,ID,RSP,0.6417910447761195
579,Renew,RSP,0.0
580,S&D,RSP,0.0
581,ECR,RSP,0.0317460317460317
582,EPP,RSP,0.0056179775280899
583,GUE/NGL,RSP,0.0
584,Greens/EFA,RSP,0.0
585,ID,RSP,0.1617647058823529
586,Renew,RSP,0.0
587,S&D,RSP,0.0
588,ECR,BUD,0.1904761904761904
589,EPP,BUD,0.0112359550561798
590,GUE/NGL,BUD,0.0
591,Greens/EFA,BUD,0.0
592,ID,BUD,0.1911764705882352
593,Renew,BUD,0.0510204081632652
594,S&D,BUD,0.0
595,ECR,INL,0.0317460317460317
596,EPP,INL,0.101123595505618
597,GUE/NGL,INL,0.2162162162162162
598,Greens/EFA,INL,0.0140845070422535
599,ID,INL,0.0147058823529411
600,Renew,INL,0.0918367346938775
601,S&D,INL,0.0699300699300699
602,ECR,RSP,0.2539682539682539
603,EPP,RSP,0.0112359550561798
604,GUE/NGL,RSP,0.1351351351351351
605,Greens/EFA,RSP,0.0140845070422535
606,ID,RSP,0.4117647058823529
607,Renew,RSP,0.0
608,S&D,RSP,0.0
609,ECR,RSP,0.5396825396825398
610,EPP,RSP,0.0903954802259887
611,GUE/NGL,RSP,0.054054054054054
612,Greens/EFA,RSP,0.0563380281690141
613,ID,RSP,0.1617647058823529
614,Renew,RSP,0.1632653061224489
615,S&D,RSP,0.0139860139860139
616,ECR,NLE,0.0
617,EPP,NLE,0.0
618,GUE/NGL,NLE,0.2894736842105263
619,Greens/EFA,NLE,0.0
620,ID,NLE,0.0428571428571428
621,Renew,NLE,0.0
622,S&D,NLE,0.0
623,ECR,NLE,0.0625
624,EPP,NLE,0.0056818181818182
625,GUE/NGL,NLE,0.3947368421052631
626,Greens/EFA,NLE,0.0
627,ID,NLE,0.4142857142857142
628,Renew,NLE,0.01
629,S&D,NLE,0.1258741258741258
630,ECR,COD,0.046875
631,EPP,COD,0.0
632,GUE/NGL,COD,0.0
633,Greens/EFA,COD,0.0
634,ID,COD,0.2714285714285714
635,Renew,COD,0.0
636,S&D,COD,0.0
637,ECR,COD,0.0625
638,EPP,COD,0.0
639,GUE/NGL,COD,0.4210526315789473
640,Greens/EFA,COD,0.0
641,ID,COD,0.0428571428571428
642,Renew,COD,0.02
643,S&D,COD,0.0419580419580419
644,ECR,COD,0.1875
645,EPP,COD,0.0
646,GUE/NGL,COD,0.131578947368421
647,Greens/EFA,COD,0.0
648,ID,COD,0.1714285714285713
649,Renew,COD,0.0
650,S&D,COD,0.0
651,ECR,BUD,0.1875
652,EPP,BUD,0.0
653,GUE/NGL,BUD,0.0
654,Greens/EFA,BUD,0.0
655,ID,BUD,0.2142857142857143
656,Renew,BUD,0.05
657,S&D,BUD,0.0
658,ECR,BUD,0.1875
659,EPP,BUD,0.0
660,GUE/NGL,BUD,0.0
661,Greens/EFA,BUD,0.0
662,ID,BUD,0.2571428571428571
663,Renew,BUD,0.05
664,S&D,BUD,0.0
665,ECR,BUD,0.1875
666,EPP,BUD,0.0
667,GUE/NGL,BUD,0.0
668,Greens/EFA,BUD,0.0
669,ID,BUD,0.2142857142857143
670,Renew,BUD,0.05
671,S&D,BUD,0.0
672,ECR,BUD,0.046875
673,EPP,BUD,0.0056818181818182
674,GUE/NGL,BUD,0.0
675,Greens/EFA,BUD,0.0
676,ID,BUD,0.0571428571428571
677,Renew,BUD,0.0
678,S&D,BUD,0.0
679,ECR,NLE,0.015625
680,EPP,NLE,0.0056818181818182
681,GUE/NGL,NLE,0.131578947368421
682,Greens/EFA,NLE,0.0
683,ID,NLE,0.3428571428571428
684,Renew,NLE,0.0
685,S&D,NLE,0.0
686,ECR,COD,0.0
687,EPP,COD,0.0
688,GUE/NGL,COD,0.0526315789473684
689,Greens/EFA,COD,0.0140845070422535
690,ID,COD,0.0428571428571428
691,Renew,COD,0.0
692,S&D,COD,0.0575539568345323
693,ECR,INL,0.140625
694,EPP,INL,0.0685714285714286
695,GUE/NGL,INL,0.1081081081081081
696,Greens/EFA,INL,0.0845070422535211
697,ID,INL,0.4142857142857142
698,Renew,INL,0.05
699,S&D,INL,0.0
700,ECR,COD,0.1875
701,EPP,COD,0.0
702,GUE/NGL,COD,0.2368421052631578
703,Greens/EFA,COD,0.0
704,ID,COD,0.3768115942028985
705,Renew,COD,0.0
706,S&D,COD,0.0070422535211267
707,ECR,INI,0.0625
708,EPP,INI,0.0
709,GUE/NGL,INI,0.0526315789473684
710,Greens/EFA,INI,0.0985915492957746
711,ID,INI,0.3768115942028985
712,Renew,INI,0.0
713,S&D,INI,0.0
714,ECR,INI,0.140625
715,EPP,INI,0.0056818181818182
716,GUE/NGL,INI,0.0526315789473684
717,Greens/EFA,INI,0.0
718,ID,INI,0.3768115942028985
719,Renew,INI,0.0
720,S&D,INI,0.0
721,ECR,INI,0.203125
722,EPP,INI,0.0
723,GUE/NGL,INI,0.2894736842105263
724,Greens/EFA,INI,0.0
725,ID,INI,0.0144927536231883
726,Renew,INI,0.0
727,S&D,INI,0.0
728,ECR,INI,0.109375
729,EPP,INI,0.0
730,GUE/NGL,INI,0.4473684210526315
731,Greens/EFA,INI,0.0140845070422535
732,ID,INI,0.4927536231884057
733,Renew,INI,0.0
734,S&D,INI,0.0069930069930069
735,ECR,INI,0.25
736,EPP,INI,0.0454545454545454
737,GUE/NGL,INI,0.0789473684210526
738,Greens/EFA,INI,0.0140845070422535
739,ID,INI,0.3623188405797102
740,Renew,INI,0.0
741,S&D,INI,0.0
742,ECR,INI,0.109375
743,EPP,INI,0.1142857142857143
744,GUE/NGL,INI,0.2368421052631578
745,Greens/EFA,INI,0.0140845070422535
746,ID,INI,0.4782608695652174
747,Renew,INI,0.0699999999999999
748,S&D,INI,0.0
749,ECR,INI,0.0
750,EPP,INI,0.0
751,GUE/NGL,INI,0.0
752,Greens/EFA,INI,0.0
753,ID,INI,0.0441176470588234
754,Renew,INI,0.0
755,S&D,INI,0.0
756,ECR,RSP,0.1111111111111111
757,EPP,RSP,0.0058139534883721
758,GUE/NGL,RSP,0.4594594594594594
759,Greens/EFA,RSP,0.0147058823529411
760,ID,RSP,0.5
761,Renew,RSP,0.02
762,S&D,RSP,0.0373134328358208
763,ECR,RSP,0.0
764,EPP,RSP,0.0057803468208093
765,GUE/NGL,RSP,0.1621621621621621
766,Greens/EFA,RSP,0.0
767,ID,RSP,0.0735294117647058
768,Renew,RSP,0.27
769,S&D,RSP,0.4017094017094017
770,ECR,RSP,0.1111111111111111
771,EPP,RSP,0.0174418604651163
772,GUE/NGL,RSP,0.3243243243243243
773,Greens/EFA,RSP,0.0294117647058823
774,ID,RSP,0.5441176470588236
775,Renew,RSP,0.0
776,S&D,RSP,0.0071428571428571
777,ECR,RSP,0.03125
778,EPP,RSP,0.1976744186046511
779,GUE/NGL,RSP,0.054054054054054
780,Greens/EFA,RSP,0.0
781,ID,RSP,0.0147058823529411
782,Renew,RSP,0.0
783,S&D,RSP,0.0
784,ECR,RSP,0.328125
785,EPP,RSP,0.1005917159763313
786,GUE/NGL,RSP,0.0
787,Greens/EFA,RSP,0.0
788,ID,RSP,0.0294117647058823
789,Renew,RSP,0.0707070707070707
790,S&D,RSP,0.0072992700729926
791,ECR,RSP,0.0625
792,EPP,RSP,0.0116279069767442
793,GUE/NGL,RSP,0.3783783783783784
794,Greens/EFA,RSP,0.0441176470588234
795,ID,RSP,0.6029411764705883
796,Renew,RSP,0.0699999999999999
797,S&D,RSP,0.150375939849624
798,ECR,RSP,0.0
799,EPP,RSP,0.0
800,GUE/NGL,RSP,0.0
801,Greens/EFA,RSP,0.0
